Date,Meditation,Exercise,Healthy Meal,Junk Food,Alcohol,Steps (thousands),Water Glasses,Hours of Sleep,Mood Notes
2022-01-01,Yes,Yes,Yes,No,Yes,17,5,5,Tired 😴
2022-01-02,No,No,Yes,Yes,No,9,0,12,Meh 😐
2022-01-03,No,Yes,Yes,No,Yes,3,4,3,Energetic ⚡
2022-01-04,No,No,Yes,,No,9,2,11,Happy 😊
2022-01-05,Yes,Yes,Yes,No,No,13,6,12,Great! 🌟
2022-01-06,No,No,No,No,No,11,0,7,Meh 😐
2022-01-07,Yes,Yes,Yes,Yes,No,0,10,4,Happy 😊
2022-01-08,Yes,Yes,Yes,No,Yes,20,8,10,Tired 😴
2022-01-09,Yes,No,Yes,No,Yes,8,4,4,Energetic ⚡
2022-01-10,Yes,Yes,No,No,No,18,12,9,Great! 🌟
2022-01-11,Yes,,Yes,Yes,Yes,3,3,6,Energetic ⚡
2022-01-12,Yes,Yes,Yes,Yes,Yes,12,5,11,Meh 😐
2022-01-13,Yes,Yes,No,Yes,No,11,8,7,Tired 😴
2022-01-14,No,Yes,No,No,No,18,11,7,Great! 🌟
2022-01-15,Yes,Yes,Yes,No,Yes,16,5,7,Great! 🌟
2022-01-16,Yes,,Yes,Yes,No,15,1,3,Tired 😴
2022-01-17,No,Yes,No,No,No,4,3,5,Happy 😊
2022-01-18,Yes,Yes,Yes,Yes,Yes,17,0,6,Happy 😊
2022-01-19,Yes,Yes,Yes,No,No,10,12,10,Energetic ⚡
2022-01-20,Yes,Yes,Yes,No,No,15,11,7,Happy 😊
2022-01-21,No,No,Yes,No,Yes,7,1,6,Meh 😐
2022-01-22,No,Yes,Yes,No,Yes,17,11,11,Tired 😴
2022-01-23,Yes,No,Yes,Yes,No,13,3,11,Tired 😴
2022-01-24,No,Yes,No,No,Yes,4,9,3,Tired 😴
2022-01-25,Yes,Yes,No,No,No,4,6,7,Great! 🌟
2022-01-26,No,Yes,Yes,No,No,11,1,5,Happy 😊
2022-01-27,Yes,No,No,Yes,Yes,9,9,4,Tired 😴
2022-01-28,No,Yes,Yes,No,Yes,16,8,9,Great! 🌟
2022-01-29,Yes,Yes,Yes,Yes,Yes,7,5,12,Great! 🌟
2022-01-30,Yes,Yes,Yes,No,No,13,8,8,Great! 🌟
2022-01-31,Yes,No,Yes,No,No,13,1,6,Energetic ⚡
2022-02-01,Yes,No,Yes,No,No,14,1,5,Happy 😊
2022-02-02,Yes,No,Yes,Yes,No,9,5,4,Meh 😐
2022-02-03,Yes,Yes,Yes,No,No,9,7,3,Energetic ⚡
2022-02-04,Yes,No,,No,No,15,0,7,
2022-02-05,Yes,Yes,No,Yes,No,15,1,11,Meh 😐
2022-02-06,Yes,No,Yes,No,No,13,10,8,Meh 😐
2022-02-07,No,No,Yes,No,No,20,0,3,Great! 🌟
2022-02-08,No,Yes,Yes,No,No,12,12,7,Tired 😴
2022-02-09,Yes,Yes,No,No,No,15,2,7,Tired 😴
2022-02-10,Yes,Yes,Yes,No,No,2,1,7,Energetic ⚡
2022-02-11,Yes,Yes,Yes,No,No,3,0,8,Tired 😴
2022-02-12,Yes,No,Yes,No,No,3,6,7,Tired 😴
2022-02-13,Yes,Yes,No,No,No,17,5,9,Happy 😊
2022-02-14,Yes,No,Yes,No,No,0,9,4,Energetic ⚡
2022-02-15,Yes,Yes,Yes,No,,20,2,3,Great! 🌟
2022-02-16,No,Yes,Yes,Yes,No,13,5,11,Great! 🌟
2022-02-17,Yes,Yes,No,No,No,4,4,3,Tired 😴
2022-02-18,No,Yes,Yes,No,Yes,9,4,5,Happy 😊
2022-02-19,Yes,Yes,Yes,Yes,No,19,5,10,Happy 😊
2022-02-20,Yes,Yes,Yes,Yes,Yes,0,2,5,Meh 😐
2022-02-21,Yes,Yes,Yes,No,Yes,11,12,6,Happy 😊
2022-02-22,Yes,Yes,No,No,Yes,16,9,6,Happy 😊
2022-02-23,No,Yes,Yes,Yes,Yes,6,5,3,Meh 😐
2022-02-24,No,Yes,No,Yes,Yes,15,0,7,Energetic ⚡
2022-02-25,Yes,Yes,No,Yes,No,10,0,5,Happy 😊
2022-02-26,Yes,Yes,Yes,Yes,Yes,12,11,6,Happy 😊
2022-02-27,Yes,No,No,No,No,8,8,12,Happy 😊
2022-02-28,No,Yes,Yes,No,Yes,0,4,4,Great! 🌟
2022-03-01,Yes,Yes,Yes,Yes,Yes,20,1,5,Great! 🌟
2022-03-02,Yes,Yes,Yes,No,Yes,4,5,9,Happy 😊
2022-03-03,Yes,Yes,Yes,No,Yes,17,1,3,Energetic ⚡
2022-03-04,No,Yes,Yes,Yes,Yes,6,12,12,Great! 🌟
2022-03-05,No,No,Yes,Yes,No,17,6,3,Great! 🌟
2022-03-06,Yes,Yes,No,No,No,16,0,7,Tired 😴
2022-03-07,,No,No,Yes,No,12,11,8,Meh 😐
2022-03-08,No,Yes,No,No,Yes,8,5,12,Great! 🌟
2022-03-09,No,Yes,No,No,No,7,6,7,Happy 😊
2022-03-10,Yes,Yes,Yes,Yes,No,17,4,12,Energetic ⚡
2022-03-11,No,Yes,No,No,No,12,4,7,Tired 😴
2022-03-12,Yes,No,Yes,Yes,No,5,1,3,Great! 🌟
2022-03-13,Yes,Yes,Yes,No,Yes,16,2,4,Great! 🌟
2022-03-14,Yes,Yes,Yes,No,Yes,0,9,8,Happy 😊
2022-03-15,Yes,No,Yes,No,Yes,11,2,7,Energetic ⚡
2022-03-16,Yes,Yes,,Yes,No,9,12,5,Great! 🌟
2022-03-17,Yes,No,No,No,No,4,10,9,Tired 😴
2022-03-18,Yes,Yes,Yes,No,No,11,8,3,Tired 😴
2022-03-19,Yes,Yes,Yes,Yes,No,,7,5,Great! 🌟
2022-03-20,No,No,No,No,No,7,2,4,Tired 😴
2022-03-21,Yes,No,No,No,No,6,7,7,Energetic ⚡
2022-03-22,Yes,Yes,No,Yes,No,3,6,3,Tired 😴
2022-03-23,Yes,,Yes,No,Yes,13,3,12,Meh 😐
2022-03-24,Yes,Yes,Yes,Yes,No,2,10,11,Great! 🌟
2022-03-25,No,Yes,Yes,Yes,No,3,0,6,Happy 😊
2022-03-26,No,Yes,No,No,Yes,13,7,9,Happy 😊
2022-03-27,Yes,Yes,No,No,No,5,8,5,Happy 😊
2022-03-28,No,Yes,No,No,No,15,4,4,Great! 🌟
2022-03-29,Yes,Yes,Yes,Yes,No,18,12,4,Tired 😴
2022-03-30,No,Yes,Yes,Yes,No,15,1,10,Great! 🌟
2022-03-31,Yes,No,Yes,No,Yes,16,11,3,Happy 😊
2022-04-01,No,Yes,Yes,Yes,No,15,4,11,Happy 😊
2022-04-02,Yes,No,Yes,No,Yes,18,11,5,Energetic ⚡
2022-04-03,Yes,Yes,Yes,Yes,No,10,4,7,Tired 😴
2022-04-04,No,Yes,No,No,Yes,4,0,12,Meh 😐
2022-04-05,Yes,No,Yes,No,Yes,4,0,12,Energetic ⚡
2022-04-06,Yes,No,No,No,Yes,11,1,9,Meh 😐
2022-04-07,Yes,Yes,No,No,No,17,6,10,Meh 😐
2022-04-08,No,No,Yes,No,No,13,7,11,Tired 😴
2022-04-09,Yes,No,Yes,No,No,1,5,8,Great! 🌟
2022-04-10,Yes,Yes,Yes,Yes,Yes,8,11,3,Energetic ⚡
2022-04-11,Yes,Yes,Yes,No,No,4,6,3,Meh 😐
2022-04-12,Yes,No,No,No,No,18,3,3,Great! 🌟
2022-04-13,Yes,Yes,Yes,Yes,No,3,5,8,Happy 😊
2022-04-14,Yes,Yes,Yes,No,No,16,7,4,Happy 😊
2022-04-15,Yes,Yes,Yes,No,Yes,11,7,8,Energetic ⚡
